product_id,product_name,category,price,stock_quantity,description
1,Dozen Red Roses,Roses,49.99,150,Classic bouquet of 12 long-stem red roses
2,Mixed Tulip Bouquet,Tulips,34.99,100,Colorful arrangement of 15 mixed tulips
3,Sunflower Delight,Sunflowers,39.99,80,Bright bouquet of 10 sunflowers with greenery
4,Lavender Dreams,Specialty,44.99,60,Elegant lavender arrangement with eucalyptus
5,Pink Peony Bunch,Peonies,54.99,45,Luxurious bouquet of 8 pink peonies
6,Spring Mix Arrangement,Mixed,42.99,120,Seasonal spring flowers in decorative vase
7,White Lily Elegance,Lilies,47.99,70,Pure white Oriental lilies with ribbon
8,Wildflower Medley,Mixed,29.99,90,Rustic mix of wildflowers and daisies
9,Orchid Plant,Plants,64.99,35,Phalaenopsis orchid in ceramic pot
10,Rose & Hydrangea Combo,Premium,69.99,50,Luxury arrangement with roses and hydrangeas
11,Carnation Collection,Carnations,24.99,110,Budget-friendly mix of colorful carnations
12,Gerbera Daisy Burst,Daisies,36.99,85,Vibrant assortment of gerbera daisies
13,Succulent Garden,Plants,32.99,65,Variety of succulents in wooden box
14,Baby's Breath Bouquet,Specialty,19.99,95,Delicate white baby's breath arrangement
15,Wedding White Collection,Premium,89.99,30,Premium white roses and calla lilies
